,What is your age ?,What is your gender ?,Which type of bullying have you done ?,What is the reason for your past behaviour of bullying?,Location where you engaged in the act of bullying,Victims' identity:,What was your response after you engaged in bullying?,How do you perceive the severity of the bullying you engaged in ?,Consequences of bullying ,Will you still bully others in the future ?
89,18,Prefer not to say,Prejudicial Bullying,Boredom,Social Media,Online trolls,Regretted,Moderate,Damage in reputation,Yes
90,20,Male,Verbal Bullying,In response to bully,School/College,Online trolls,Regretted,Low,No consequence,No
91,21,Female,Physical Bullying,Insecurity,Social Media,Juniors,Regretted,Moderate,No consequence,Yes
92,18,Male,Cyber Bullying,Lack of empathy,Neighbourhood,Friends & Family,Continued to bully,Low,No consequence,No
93,26,Male,Verbal Bullying,Lack of empathy,School/College,Strangers,Continued to bully,Low,No consequence,No
94,24,Female,Prejudicial Bullying,Lack of empathy,Neighbourhood,Online trolls,Continued to bully,Low,Legal action,Yes
95,19,Female,Verbal Bullying,Jealousy,Social Media,Juniors,Regretted,High,No consequence,Yes
96,27,Female,Cyber Bullying,Jealousy,School/College,Online trolls,Regretted,High,Legal action,No
97,20,Female,Physical Bullying,Lack of empathy,Public Places,Friends & Family,Continued to bully,Moderate,Damage in reputation,Yes
98,28,Male,Verbal Bullying,Insecurity,Social Media,Friends & Family,Regretted,High,No consequence,Yes
99,21,Male,Prejudicial Bullying,Jealousy,Social Media,Online trolls,Continued to bully,Moderate,No consequence,No
